Crossbow.png,Crossbow
Bronze crossbow.png,Bronze crossbow
Bronze thrownaxe.png,Bronze thrownaxe
Iron pickaxe.png,Iron pickaxe
Iron battleaxe.png,Iron battleaxe
Iron dagger.png,Iron dagger
Iron scimitar.png,Iron scimitar
Iron sword.png,Iron sword
Iron warhammer.png,Iron warhammer
Iron hasta.png,Iron hasta
Steel mace.png,Steel mace
Steel sword.png,Steel sword
Steel battleaxe.png,Steel battleaxe
Steel pickaxe.png,Steel pickaxe
Steel crossbow.png,Steel crossbow
Steel thrownaxe.png,Steel thrownaxe
Steel longsword.png,Steel longsword
Steel knife.png,Steel knife
Iron axe.png,Iron axe
Mithril axe.png,Mithril axe
Steel axe.png,Steel axe
Black sword.png,Black sword
Black battleaxe.png,Black battleaxe
Black dagger.png,Black dagger
Black mace.png,Black mace
Black scimitar.png,Black scimitar
Dragon scimitar.png,Dragon scimitar
Adamant battleaxe.png,Adamant battleaxe
Adamant crossbow.png,Adamant crossbow
Adamant dagger.png,Adamant dagger
Adamant dart.png,Adamant dart
Adamant hasta.png,Adamant hasta
Adamant axe.png,Adamant axe
Adamant knife.png,Adamant knife
Adamant longsword.png,Adamant longsword
Adamant mace.png,Adamant mace
Adamant pickaxe.png,Adamant pickaxe
Adamant scimitar.png,Adamant scimitar
Adamant sword.png,Adamant sword
Adamant thrownaxe.png,Adamant thrownaxe
Adamant warhammer.png,Adamant warhammer
Ahrim's staff.png,Ahrim's staff
Air battlestaff.png,Air battlestaff
Anger battleaxe.png,Anger battleaxe
Anger mace.png,Anger mace
Anger sword.png,Anger sword
Apprentice wand.png,Apprentice wand
Bronze axe.png,Bronze axe
Bronze dagger.png,Bronze dagger
Bronze dart.png,Bronze dart
Iron dart.png,Iron dart
Bronze hasta.png,Bronze hasta
Iron mace.png,Iron mace
Iron sickle.png,Iron sickle
Bronze mace.png,Bronze mace
Iron thrownaxe.png,Iron thrownaxe
Bronze pickaxe.png,Bronze pickaxe
Mithril battleaxe.png,Mithril battleaxe
Mithril dagger.png,Mithril dagger
Mithril hasta.png,Mithril hasta
Mithril knife.png,Mithril knife
Mithril longsword.png,Mithril longsword
Mithril mace.png,Mithril mace
Mithril pickaxe.png,Mithril pickaxe
Mithril sword.png,Mithril sword
Mithril warhammer.png,Mithril warhammer
Bronze sword.png,Bronze sword
Bronze warhammer.png,Bronze warhammer
Rune crossbow.png,Rune crossbow
Rune dart.png,Rune dart
Rune knife.png,Rune knife
Rune longsword.png,Rune longsword
Rune mace.png,Rune mace
Rune pickaxe.png,Rune pickaxe
Rune sword.png,Rune sword
Steel dagger.png,Steel dagger
Steel scimitar.png,Steel scimitar
Steel warhammer.png,Steel warhammer
Barb-tail harpoon.png,Barb-tail harpoon
Battlestaff.png,Battlestaff
Beginner wand.png,Beginner wand
Blurite crossbow.png,Blurite crossbow
Blurite sword.png,Blurite sword
Bone spear.png,Bone spear
Boxing gloves (red).png,Boxing gloves
Brine sabre.png,Brine sabre
Butterfly net.png,Butterfly net
Cattleprod.png,Cattleprod
Cleaver.png,Cleaver
Dark dagger.png,Dark dagger
Darklight.png,Darklight
Dorgeshuun crossbow.png,Dorgeshuun crossbow
Dragon battleaxe.png,Dragon battleaxe
Dragon dagger.png,Dragon dagger
Dragon dart.png,Dragon dart
Dramen staff.png,Dramen staff
Earth battlestaff.png,Earth battlestaff
Egg whisk.png,Egg whisk
Excalibur.png,Excalibur
Falconer's glove.png,Falconer's glove
Fire battlestaff.png,Fire battlestaff
Fremennik blade.png,Fremennik blade
Frying pan.png,Frying pan
Gnomeball.png,Gnomeball
Holy water.png,Holy water
Iban's staff.png,Iban's staff
Jade machete.png,Jade machete
Keris.png,Keris
Lava battlestaff.png,Lava battlestaff
Magic butterfly net.png,Magic butterfly net
Magic staff.png,Magic staff
Maple blackjack(d).png,Maple blackjack(d)
Mud battlestaff.png,Mud battlestaff
Oak blackjack(o).png,Oak blackjack(o)
Phoenix crossbow.png,Phoenix crossbow
Rat pole.png,Rat pole
Red chinchompa.png,Red chinchompa
Red topaz machete.png,Red topaz machete
Skewer.png,Skewer
Skull sceptre.png,Skull sceptre
Staff of earth.png,Staff of earth
Staff of fire.png,Staff of fire
Staff of air.png,Staff of air
Staff of water.png,Staff of water
Toktz-xil-ek.png,Toktz-xil-ek
Toktz-xil-ul.png,Toktz-xil-ul
Training sword.png,Training sword
Void knight mace.png,Void knight mace
White dagger.png,White dagger
White longsword.png,White longsword
White magic staff.png,White magic staff
White scimitar.png,White scimitar
Wolfbane.png,Wolfbane
Zamorak staff.png,Zamorak staff
Rune scimitar.png,Rune scimitar
Blessed axe.png,Blessed axe
Iron knife.png,Iron knife
Rune axe.png,Rune axe
Dragon axe.png,Dragon axe
Mithril scimitar.png,Mithril scimitar
Dragon longsword.png,Dragon longsword
Rune dagger.png,Rune dagger
Silver sickle.png,Silver sickle
Tzhaar-ket-em.png,Tzhaar-ket-em
Slayer's staff.png,Slayer's staff
Rune thrownaxe.png,Rune thrownaxe
Black knife.png,Black knife
Mithril dart.png,Mithril dart
Black dart.png,Black dart
Iron crossbow.png,Iron crossbow
Staff.png,Staff
Dragon mace.png,Dragon mace
White mace.png,White mace
Lyre.png,Lyre
Rune warhammer.png,Rune warhammer
Mouse toy.png,Mouse toy
Mith crossbow.png,Mith crossbow
Silverlight.png,Silverlight
Magic secateurs.png,Magic secateurs
Rapier.png,Rapier
Oak blackjack.png,Oak blackjack
Willow blackjack(o).png,Willow blackjack(o)
Maple blackjack(o).png,Maple blackjack(o)
Oak blackjack(d).png,Oak blackjack(d)
Willow blackjack(d).png,Willow blackjack(d)
Willow blackjack.png,Willow blackjack
Maple blackjack.png,Maple blackjack
Black axe.png,Black axe
Guthix staff.png,Guthix staff
Saradomin staff.png,Saradomin staff
Master wand.png,Master wand
Lunar staff.png,Lunar staff
Noose wand.png,Noose wand
Karamjan monkey greegree.png,Karamjan monkey greegree
White battleaxe.png,White battleaxe
Teacher wand.png,Teacher wand
Machete.png,Machete
Scythe.png,Scythe
Chinchompa.png,Chinchompa
Silver sickle (b).png,Silver sickle (b)
Wooden spoon.png,Wooden spoon
Spork.png,Spork
Rolling pin.png,Rolling pin
Kitchen knife.png,Kitchen knife
Meat tenderiser.png,Meat tenderiser
Mystic fire staff.png,Mystic fire staff
Rod of ivandis.png,Rod of ivandis
Water battlestaff.png,Water battlestaff
White sword.png,White sword
White warhammer.png,White warhammer
Rune hasta.png,Rune hasta
Wooden sword.png,Wooden sword
Saradomin crozier.png,Saradomin crozier
Ancient mace.png,Ancient mace
Beach boxing gloves (yellow).png,Beach boxing gloves
Rubber chicken.png,Rubber chicken
Cursed goblin staff.png,Cursed goblin staff
Cursed goblin hammer.png,Cursed goblin hammer
Cutthroat flag.png,Cutthroat flag
Mystic water staff.png,Mystic water staff
Mystic lava staff.png,Mystic lava staff
Lucky cutlass.png,Lucky cutlass
Armadyl crossbow.png,Armadyl crossbow
Steam battlestaff.png,Steam battlestaff
Mystic steam staff.png,Mystic steam staff
Hunters' crossbow.png,Hunters' crossbow
Staff of the dead.png,Staff of the dead
Monkey talisman.png,Monkey talisman
Trollweiss.png,Trollweiss
Guilded smile flag.png,Guilded smile flag
Bronze fist flag.png,Bronze fist flag
Lucky shot flag.png,Lucky shot flag
Treasure flag.png,Treasure flag
Phasmatys flag.png,Phasmatys flag
